domain_1	domain_2
PF00534	PF00534
PF08207	PF10093
PF02742	PF18357
PF09204	PF11429
PF01043	PF07516
PF00890	PF00890
PF00271	PF00570
PF00400	PF04096
PF14010	PF14010
PF02097	PF05505
PF16716	PF16716
PF00629	PF01400
PF08923	PF15454
PF00705	PF01351
PF00132	PF13720
PF12667	PF17415
PF00620	PF00786
PF00008	PF00069
PF17129	PF17130
PF14478	PF14478
PF00132	PF03398
PF00735	PF02774
PF02767	PF03120
PF01204	PF07492
PF00044	PF01749
PF06026	PF06026
PF11894	PF11894
PF06519	PF16710
PF02027	PF02027
PF00047	PF13927
PF01611	PF01611
PF02359	PF06936
PF02929	PF16353
PF00125	PF03276
PF00467	PF00575
PF12681	PF12681
PF01049	PF01049
PF04016	PF13938
PF01964	PF01964
PF01412	PF12796
PF01145	PF01145
PF02607	PF02607
PF00097	PF00125
PF18298	PF18298
PF07486	PF07486
PF01992	PF01992
PF00013	PF02598
PF00441	PF00550
PF07780	PF11861
PF00115	PF02238
PF00117	PF00988
PF07940	PF07940
PF00036	PF00076
PF01379	PF02602
PF15889	PF15889
PF16724	PF16724
PF02406	PF02406
PF17190	PF17191
PF06254	PF06254
PF01174	PF01174
PF00563	PF07238
PF17004	PF17004
PF01601	PF01601
PF00077	PF06817
PF02985	PF04096
PF12899	PF12899
PF07912	PF07912
PF02828	PF02828
PF00004	PF10431
PF01398	PF02889
PF01899	PF03334
PF03405	PF03405
PF00417	PF01649
PF16979	PF16979
PF04560	PF04997
PF00276	PF00831
PF00888	PF12937
PF00886	PF01412
PF00811	PF00811
PF00667	PF02898
PF00702	PF01842
PF09822	PF09822
PF03045	PF03045
PF00623	PF04560
PF16989	PF16989
PF05010	PF08447
PF00018	PF00240
PF00832	PF01246
PF17960	PF17960
PF03610	PF05524
PF00252	PF01668
PF00018	PF00625
PF00125	PF04561
PF10000	PF10000
PF00069	PF03637
