domain_1	domain_2
PF13893	PF00076
PF00076	PF03129
PF02191	PF13855
PF00270	PF04408
PF00069	PF00659
PF18773	PF00076
PF03876	PF01194
PF04110	PF04106
PF01280	PF01015
PF00273	PF00273
PF13637	PF13606
PF17862	PF18265
PF08726	PF00435
PF13432	PF00008
PF01612	PF01138
PF01642	PF02310
PF02880	PF02879
PF03114	PF03114
PF00899	PF00179
PF02262	PF00179
PF00010	PF02820
PF01734	PF01734
PF18190	PF18409
PF10433	PF00888
PF04152	PF04152
PF00240	PF02338
PF05916	PF16922
PF04800	PF12838
PF05205	PF00400
PF00830	PF00542
PF00088	PF00088
PF09271	PF09596
PF01608	PF01608
PF02733	PF02734
PF13522	PF00156
PF12861	PF00888
PF02140	PF07679
PF00620	PF00788
PF00069	PF00005
PF00318	PF00410
PF08703	PF08703
PF01780	PF01282
PF16759	PF16589
PF00071	PF04129
PF00006	PF04568
PF00123	PF00002
PF00827	PF01090
PF00531	PF02115
PF02234	PF00069
PF10613	PF10613
PF00306	PF00006
PF00856	PF18264
PF11221	PF11221
PF05236	PF03847
PF04037	PF01423
PF00515	PF13414
PF13516	PF13855
PF01417	PF07651
PF04997	PF00397
PF00822	PF00822
PF00217	PF02807
PF00076	PF00996
PF05470	PF01399
PF01749	PF00004
PF04561	PF04563
PF00071	PF02115
PF00688	PF00688
PF01624	PF00270
PF01509	PF01248
PF00076	PF08920
PF00071	PF02318
PF00022	PF00493
PF08083	PF10598
PF00827	PF01246
PF00164	PF00096
PF00398	PF14700
PF01294	PF00827
PF00531	PF00791
PF05000	PF04560
PF01302	PF00240
PF07686	PF00009
PF11221	PF05983
PF11976	PF11976
PF08083	PF10597
PF04427	PF01159
PF00156	PF00156
PF01556	PF00226
PF00091	PF00091
PF01064	PF08917
PF17911	PF13181
PF10584	PF02252
PF00412	PF00010
PF00244	PF00069
PF04998	PF00623
PF03731	PF02037
PF02078	PF02078
PF02939	PF02921
PF04560	PF01193
PF17904	PF05641
PF00364	PF02779
PF09128	PF09128
PF13174	PF13432
PF03874	PF00575
PF00705	PF02518
PF14374	PF08079
PF00076	PF03143
PF01529	PF01529
PF01751	PF00270
PF00640	PF00058
PF00230	PF13499
PF00452	PF00023
PF01217	PF01217
PF00757	PF00069
PF04560	PF04566
PF00439	PF04729
PF06220	PF01423
PF00059	PF00008
PF00063	PF00036
PF07686	PF07654
PF00112	PF08246
PF04095	PF17767
PF14492	PF00164
PF00631	PF00400
PF00085	PF00085
PF13909	PF00096
PF17855	PF00493
PF16652	PF00071
PF16183	PF00225
PF04098	PF01336
PF13848	PF00262
PF01105	PF00400
PF13306	PF00560
PF11538	PF13513
PF04774	PF00189
PF00400	PF00004
PF00935	PF01780
PF01016	PF01632
PF00782	PF00782
PF13424	PF13176
PF00092	PF13855
PF00105	PF00069
PF13857	PF00069
PF01583	PF14306
PF00769	PF09007
PF00318	PF00333
PF02881	PF02881
PF00059	PF00594
PF11799	PF00817
PF13499	PF08763
PF14765	PF14765
PF00778	PF00595
PF00611	PF00018
PF12796	PF14604
PF13499	PF00149
PF00084	PF00207
PF03256	PF13181
PF00389	PF00069
PF02747	PF00069
PF01180	PF00037
PF01545	PF01545
PF00096	PF13465
PF00341	PF00754
PF06367	PF06371
